pt_root_id,total_myelin_length,cell_type,number_of_segments
864691135441799752,407.44,23P,169
864691136991202453,2159.23,5P-ET,139
864691135726140843,658.72,4P,114
864691135809158685,0.0,4P,47
864691135469422674,149.36,23P,60
864691135811335116,270.97,6P-IT,47
864691135786698436,475.08,23P,65
864691136663700958,0.0,23P,37
864691135920571056,0.0,4P,55
864691135753932237,6.06,4P,73
864691135396115189,0.0,6P-IT,49
864691136092638900,0.0,4P,71
864691135361291591,297.81,5P-IT,350
864691135479404742,0.0,5P-NP,105
864691137198748225,0.0,23P,32
864691136390183696,0.0,4P,35
864691135990520832,0.0,23P,57
864691136238090767,387.67,5P-IT,53
864691135293436854,54.76,4P,47
864691135807579933,238.03,4P,63
864691136275807757,0.0,6P-IT,41
864691135725779883,622.86,BC,393
864691135738047620,3.6,5P-IT,87
864691136052688115,488.26,4P,88
864691135014966262,143.3,5P-IT,79
864691135591041291,573.75,23P,114
864691135911679145,405.26,5P-IT,75
864691135996104618,2938.99,BC,592
864691136136766589,794.29,23P,27
864691135356839887,42.23,5P-IT,59
864691135398430241,256.55,4P,73
864691135469753426,201.52,23P,53
864691136974813212,166.9,5P-IT,77
864691135640325435,259.98,4P,68
864691135480311494,213.5,6P-IT,69
864691135384176602,0.0,5P-IT,101
864691136195284556,184.57,MC,388
864691136195419606,0.0,23P,49
864691135106110285,1419.57,BC,590
864691135570534534,0.0,23P,55
864691136124845606,145.38,23P,25
